ra,dec,type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
30.6758380774026,-3.20456599015711,6,23.60928,20.91881,19.61794,18.11021,17.3138,0.877799,0.04714349,0.02533259,0.02876946,0.02375618,23.96086,20.93955,19.61327,18.12506,17.32334,1.081622,0.04356959,0.01976036,0.009046989,0.01610696
30.7350905338752,-3.25740924970828,6,25.54173,23.31072,22.67653,22.31278,22.41008,0.8219379,0.2032815,0.2185794,0.2405804,0.6086739,25.58775,23.31285,22.65052,22.32184,22.63648,0.8100657,0.2143128,0.2217689,0.2534057,0.6562899
30.7344752101992,-3.25817475397625,6,24.96358,23.55874,22.82408,22.96767,22.5996,1.057184,0.2442487,0.2448511,0.4119248,0.5894145,24.9396,23.6403,22.85694,23.01962,22.66504,1.060621,0.2658613,0.2555835,0.4353237,0.6250038
30.788050112745,-3.25803337373409,3,25.21367,22.92847,21.40122,20.5288,20.2616,0.9499941,0.1416916,0.07087536,0.06341093,0.1207312,25.55384,22.51948,20.94073,20.12748,19.85579,1.125043,0.150379,0.06473384,0.04834247,0.1277651
30.7341142790117,-3.27823526633306,6,23.49902,22.84272,22.91665,22.31858,21.61431,0.7126278,0.1335808,0.258005,0.2352828,0.3901926,23.36588,22.8529,22.96926,22.37759,21.6438,0.6630762,0.1424382,0.2796251,0.2574127,0.3881983
30.733753371998,-3.23929782374098,6,23.00653,22.55132,22.54605,22.04149,22.1095,0.5231525,0.1905884,0.2451372,0.195138,0.7859302,23.09329,22.60336,22.56508,22.05459,22.09325,0.6430921,0.1812479,0.2340786,0.1941256,0.7839099
30.7332342627671,-3.26336227788177,6,22.6815,22.5405,22.06269,22.68107,22.19763,0.370636,0.1478335,0.1548682,0.4553331,0.6673529,22.88328,22.55332,22.11995,22.75981,22.3548,0.4485829,0.1094276,0.1327228,0.3497272,0.5852597
30.7883006491431,-3.34039561559361,3,22.44213,20.85332,19.37516,18.80272,18.62656,0.3017753,0.03235345,0.02212441,0.01706811,0.03646209,21.52551,19.88551,18.49838,17.93325,17.66996,0.2685246,0.02364329,0.0121772,0.01128332,0.02768139
30.7341201161182,-3.27528300480706,6,22.89715,20.01777,18.54,17.62618,17.0957,0.4466147,0.0230849,0.0193455,0.01280617,0.02046431,23.23221,20.03036,18.54956,17.62633,17.10224,0.5871419,0.01663832,0.008774239,0.00673306,0.01162485
30.7336053856414,-3.25832232127273,6,25.10179,23.24266,22.84134,22.64417,22.6662,1.01111,0.1913299,0.2557816,0.9977566,0.6247951,25.14355,23.20242,22.84166,22.76042,22.44524,1.043548,0.1975476,0.2642929,0.3718004,0.6329023
